number,value,datetime_start,datetime_complete,duration,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_dropout_l7,params_dropout_l8,params_dropout_l9,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_n_units_l6,params_n_units_l7,params_n_units_l8,params_n_units_l9,params_optimizer,params_weight_decay,state
33,0.5755885303020477,2025-12-25 22:26:46.661308,2025-12-25 22:26:47.074562,0 days 00:00:00.413254,0.4589997371331384,0.11274997847344537,,,,,,,,,0.0028510177805425797,2,224,184,,,,,,,,,RMSprop,8.08390184674276e-05,COMPLETE
34,0.5942219495773315,2025-12-25 22:26:47.074693,2025-12-25 22:26:48.128016,0 days 00:00:01.053323,0.4095317781552095,0.03148731559579838,0.2741474736288463,0.39106308004261137,,,,,,,0.0035163925537889697,4,240,192,256.0,200.0,,,,,,,RMSprop,3.2835989545015434e-05,COMPLETE
35,0.6520478159189225,2025-12-25 22:26:48.128155,2025-12-25 22:26:48.624682,0 days 00:00:00.496527,0.4780874206158341,0.10408205102307165,0.21877698742879464,,,,,,,,0.0022647444529519554,3,200,224,8.0,,,,,,,,RMSprop,0.0003182849091656233,PRUNED
36,0.6247017294168472,2025-12-25 22:26:48.624793,2025-12-25 22:26:49.023704,0 days 00:00:00.398911,0.3571053848261696,0.01408628281408407,,,,,,,,,0.0010859218391512549,2,192,208,,,,,,,,,RMSprop,0.0013996453730359614,PRUNED
37,1.0182100415229798,2025-12-25 22:26:49.023815,2025-12-25 22:26:51.218954,0 days 00:00:02.195139,0.4535881710628914,0.148870060086089,0.1048738681381152,0.28275832327935735,0.26165651168267756,0.49874792547569746,0.38130851885501754,0.2065102071116032,0.4975824872382385,,0.0016481643384642765,9,176,120,256.0,256.0,208.0,16.0,24.0,256.0,48.0,,RMSprop,0.00010597044758515667,COMPLETE
38,1.0189512968063354,2025-12-25 22:26:51.219102,2025-12-25 22:26:51.831225,0 days 00:00:00.612123,0.49525202797200574,0.0854178142964069,0.2883513180183253,0.06946953770804362,,,,,,,0.0034440298836443763,4,224,168,184.0,56.0,,,,,,,SGD,3.1185736931830446e-05,PRUNED
39,0.6482290983200073,2025-12-25 22:26:51.831332,2025-12-25 22:26:52.179480,0 days 00:00:00.348148,0.4117042228569673,0.04881536397088969,,,,,,,,,0.006252563644047948,2,200,72,,,,,,,,,RMSprop,3.219912119868693e-06,PRUNED
40,1.0188488125801087,2025-12-25 22:26:52.179580,2025-12-25 22:26:53.520537,0 days 00:00:01.340957,0.3952415199392504,0.1376156804997238,0.062307129632648395,0.18798848180990096,0.39597275199523296,0.13639465774378545,0.28453356388946227,,,,0.0009002645581338932,7,240,160,32.0,112.0,152.0,72.0,184.0,,,,RMSprop,0.00952942270073102,COMPLETE
41,0.5761835634708404,2025-12-25 22:26:53.520682,2025-12-25 22:26:53.923781,0 days 00:00:00.403099,0.4552698864179734,0.12218477321016355,,,,,,,,,0.0026659634147872466,2,224,184,,,,,,,,,RMSprop,7.514508715834162e-05,COMPLETE
42,0.5854348421096802,2025-12-25 22:26:53.923909,2025-12-25 22:26:54.356138,0 days 00:00:00.432229,0.4674318257890047,0.17344082815061532,,,,,,,,,0.0033384370920097554,2,216,224,,,,,,,,,RMSprop,6.626520251446603e-05,PRUNED
43,0.5687927573919296,2025-12-25 22:26:54.356241,2025-12-25 22:26:54.929994,0 days 00:00:00.573753,0.43095550613163464,0.09980941543954404,0.20263309953693726,,,,,,,,0.0023520703357572475,3,232,208,48.0,,,,,,,,RMSprop,0.0001434610594481053,COMPLETE
44,1.0176363706588745,2025-12-25 22:26:54.930119,2025-12-25 22:26:55.397007,0 days 00:00:00.466888,0.35128191456648455,0.08784933355199065,0.1998675972949878,,,,,,,,0.0021600854603206557,3,248,240,48.0,,,,,,,,SGD,0.00014848814837246615,PRUNED
45,0.6623099952936172,2025-12-25 22:26:55.397122,2025-12-25 22:26:56.054707,0 days 00:00:00.657585,0.4320496438669053,0.05848849553248029,0.23697983715413576,0.2664953477739061,,,,,,,0.0013530552465136365,4,176,208,48.0,64.0,,,,,,,RMSprop,0.0007693481633826674,PRUNED
46,0.5752322107553482,2025-12-25 22:26:56.054814,2025-12-25 22:26:56.491935,0 days 00:00:00.437121,0.37969328374106975,0.0021328242984184065,0.1365084440485388,,,,,,,,0.006183720467581958,3,192,96,80.0,,,,,,,,RMSprop,0.0002616993913727475,COMPLETE
47,1.0085333228111266,2025-12-25 22:26:56.492060,2025-12-25 22:26:56.727958,0 days 00:00:00.235898,0.26915824759684703,0.03415038890485078,,,,,,,,,0.003861341221999694,2,208,32,,,,,,,,,SGD,0.0001265526257846942,PRUNED
48,0.6158786594867707,2025-12-25 22:26:56.728057,2025-12-25 22:26:57.622883,0 days 00:00:00.894826,0.407810593749322,0.09286612037718209,0.10977597710488467,0.4454755410985065,,,,,,,0.00171767851962583,4,232,216,128.0,200.0,,,,,,,RMSprop,3.777409946436355e-05,COMPLETE
49,0.8107569754123688,2025-12-25 22:26:57.623022,2025-12-25 22:26:58.247059,0 days 00:00:00.624037,0.4403299139764678,0.1254030842585603,0.36154353537092176,,,,,,,,0.000426579536951742,3,248,240,24.0,,,,,,,,Adam,2.408751833009552e-05,PRUNED
