Temperature (K),Energy (eV)
296.000000,-98.094390
305.000000,-98.094166
323.000000,-98.094701
346.000000,-98.094678
367.000000,-98.095292
381.000000,-98.094614
381.000000,-98.094765
367.000000,-98.094338
340.000000,-98.093135
305.000000,-98.090938
265.000000,-98.088688
228.000000,-98.087399
199.000000,-98.085711
182.000000,-98.085387
179.000000,-98.085164
194.000000,-98.085714
224.000000,-98.086216
269.000000,-98.087425
324.000000,-98.088476
383.000000,-98.090133
441.000000,-98.091989
489.000000,-98.094776
523.000000,-98.096766
539.000000,-98.096385
536.000000,-98.095983
516.000000,-98.096021
487.000000,-98.093283
454.000000,-98.090680
422.000000,-98.088543
397.000000,-98.087485
380.000000,-98.086328
371.000000,-98.084969
365.000000,-98.084835
362.000000,-98.085055
357.000000,-98.084587
351.000000,-98.083758
342.000000,-98.083452
333.000000,-98.082745
325.000000,-98.081316
321.000000,-98.080633
323.000000,-98.079662
331.000000,-98.079220
347.000000,-98.079221
369.000000,-98.079422
393.000000,-98.079752
415.000000,-98.079232
430.000000,-98.079301
434.000000,-98.079200
426.000000,-98.077946
407.000000,-98.076048
377.000000,-98.074380
342.000000,-98.073452
306.000000,-98.073523
273.000000,-98.073300
248.000000,-98.075966
233.000000,-98.085471
227.000000,-98.080646
232.000000,-98.072887
245.000000,-98.073464
265.000000,-98.074224
288.000000,-98.073704
309.000000,-98.074119
326.000000,-98.074984
337.000000,-98.074406
340.000000,-98.073823
335.000000,-98.071800
324.000000,-98.070296
310.000000,-98.069243
297.000000,-98.068197
287.000000,-98.066640
283.000000,-98.065252
288.000000,-98.064577
302.000000,-98.063897
325.000000,-98.063512
352.000000,-98.063563
381.000000,-98.063244
406.000000,-98.063084
424.000000,-98.063079
432.000000,-98.062327
432.000000,-98.061312
423.000000,-98.061889
412.000000,-98.062211
401.000000,-98.061892
392.000000,-98.062107
387.000000,-98.060953
386.000000,-98.058850
389.000000,-98.057635
395.000000,-98.057417
402.000000,-98.056990
408.000000,-98.057492
409.000000,-98.057721
402.000000,-98.058241
385.000000,-98.057598
360.000000,-98.057023
330.000000,-98.056134
300.000000,-98.054953
274.000000,-98.054165
257.000000,-98.053626
252.000000,-98.052916
262.000000,-98.052647
285.000000,-98.053044
321.000000,-98.053530
365.000000,-98.054300
412.000000,-98.055113
458.000000,-98.056269
494.000000,-98.056466
516.000000,-98.056399
521.000000,-98.055987
506.000000,-98.055442
476.000000,-98.054053
434.000000,-98.052190
387.000000,-98.049343
339.000000,-98.046624
297.000000,-98.044530
262.000000,-98.043887
238.000000,-98.042746
225.000000,-98.042330
220.000000,-98.043033
222.000000,-98.043058
229.000000,-98.042608
238.000000,-98.043191
248.000000,-98.043711
259.000000,-98.044405
270.000000,-98.043989
281.000000,-98.044173
292.000000,-98.044056
306.000000,-98.043709
321.000000,-98.043596
337.000000,-98.043728
354.000000,-98.042959
369.000000,-98.042860
383.000000,-98.043308
393.000000,-98.043520
399.000000,-98.042622
399.000000,-98.042188
395.000000,-98.041092
385.000000,-98.040727
372.000000,-98.039608
357.000000,-98.039993
340.000000,-98.039090
324.000000,-98.037895
312.000000,-98.036047
305.000000,-98.035144
305.000000,-98.034227
313.000000,-98.034652
329.000000,-98.033938
351.000000,-98.033964
377.000000,-98.034564
403.000000,-98.034768
425.000000,-98.034117
440.000000,-98.033300
445.000000,-98.032243
439.000000,-98.031420
425.000000,-98.030527
405.000000,-98.029591
384.000000,-98.028450
365.000000,-98.027328
351.000000,-98.026285
343.000000,-98.025306
341.000000,-98.024350
344.000000,-98.023541
351.000000,-98.023047
361.000000,-98.022838
371.000000,-98.022047
381.000000,-98.021901
389.000000,-98.021319
395.000000,-98.021345
398.000000,-98.020605
399.000000,-98.020379
396.000000,-98.019914
392.000000,-98.020980
385.000000,-98.020544
376.000000,-98.020970
365.000000,-98.020384
351.000000,-98.019383
334.000000,-98.018697
315.000000,-98.018112
294.000000,-98.017652
273.000000,-98.016784
254.000000,-98.015518
237.000000,-98.015018
224.000000,-98.015015
219.000000,-98.014629
221.000000,-98.014504
232.000000,-98.014827
252.000000,-98.015437
281.000000,-98.016636
315.000000,-98.017492
351.000000,-98.018341
383.000000,-98.019395
407.000000,-98.019756
420.000000,-98.020408
422.000000,-98.019940
415.000000,-98.018090
404.000000,-98.015971
391.000000,-98.014758
381.000000,-98.013660
373.000000,-98.011816
368.000000,-98.011735
364.000000,-98.011551
358.000000,-98.011529
350.000000,-98.010730
336.000000,-98.010174
320.000000,-98.009949
302.000000,-98.009134
285.000000,-98.008296
273.000000,-98.006427
269.000000,-98.006133
274.000000,-98.005775
290.000000,-98.005626
316.000000,-98.006875
348.000000,-98.007811
384.000000,-98.009375
418.000000,-98.010741
444.000000,-98.011468
459.000000,-98.011789
461.000000,-98.010678
452.000000,-98.008475
435.000000,-98.005496
414.000000,-98.003698
395.000000,-98.002237
380.000000,-98.001313
371.000000,-97.999449
366.000000,-97.999103
364.000000,-97.998568
361.000000,-97.998178
359.000000,-97.998707
356.000000,-97.999185
355.000000,-97.999998
356.000000,-97.999495
359.000000,-97.998480
362.000000,-97.997466
366.000000,-97.997446
368.000000,-97.997360
368.000000,-97.997005
366.000000,-97.996311
361.000000,-97.995949
355.000000,-97.995756
348.000000,-97.994876
339.000000,-97.993828
329.000000,-97.993048
318.000000,-97.993100
306.000000,-97.992942
295.000000,-97.992609
285.000000,-97.991820
277.000000,-97.990245
272.000000,-97.988937
270.000000,-97.988161
274.000000,-97.987006
282.000000,-97.986438
294.000000,-97.987036
311.000000,-97.987396
329.000000,-97.987503
349.000000,-97.987265
366.000000,-97.986061
379.000000,-97.984829
387.000000,-97.984510
388.000000,-97.982791
382.000000,-97.981220
370.000000,-97.979624
353.000000,-97.979269
334.000000,-97.977950
316.000000,-97.976342
303.000000,-97.975085
296.000000,-97.974509
297.000000,-97.974106
306.000000,-97.973862
319.000000,-97.973319
335.000000,-97.973148
350.000000,-97.972281
363.000000,-97.971422
372.000000,-97.970293
379.000000,-97.968570
383.000000,-97.967252
386.000000,-97.965813
390.000000,-97.965936
396.000000,-97.964718
404.000000,-97.965242
415.000000,-97.964464
426.000000,-97.963724
435.000000,-97.962867
440.000000,-97.963339
438.000000,-97.962472
429.000000,-97.961255
411.000000,-97.959859
387.000000,-97.958058
360.000000,-97.956449
333.000000,-97.955832
310.000000,-97.955258
297.000000,-97.954454
293.000000,-97.954876
302.000000,-97.954920
322.000000,-97.955538
348.000000,-97.955904
377.000000,-97.956377
403.000000,-97.957201
421.000000,-97.957255
428.000000,-97.957203
421.000000,-97.957654
403.000000,-97.958087
378.000000,-97.956487
350.000000,-97.956098
322.000000,-97.954830
296.000000,-97.954340
275.000000,-97.953065
258.000000,-97.952191
246.000000,-97.951504
240.000000,-97.951452
239.000000,-97.952257
242.000000,-97.952441
250.000000,-97.952499
262.000000,-97.952019
276.000000,-97.951443
291.000000,-97.950758
306.000000,-97.950720
320.000000,-97.949893
333.000000,-97.949134
343.000000,-97.948321
351.000000,-97.947265
358.000000,-97.946306
365.000000,-97.944999
373.000000,-97.943833
380.000000,-97.943412
388.000000,-97.943227
393.000000,-97.942302
396.000000,-97.941669
392.000000,-97.940671
381.000000,-97.939635
365.000000,-97.938278
347.000000,-97.936625
330.000000,-97.936052
317.000000,-97.934615
311.000000,-97.933886
314.000000,-97.933332
325.000000,-97.933519
345.000000,-97.933945
371.000000,-97.934259
400.000000,-97.934862
430.000000,-97.935092
455.000000,-97.935140
472.000000,-97.934723
481.000000,-97.933235
479.000000,-97.930754
469.000000,-97.929933
451.000000,-97.928496
429.000000,-97.926628
406.000000,-97.925190
384.000000,-97.924203
364.000000,-97.923305
348.000000,-97.922786
336.000000,-97.921918
329.000000,-97.921511
325.000000,-97.921856
323.000000,-97.921563
322.000000,-97.922043
319.000000,-97.922077
313.000000,-97.921974
305.000000,-97.921458
293.000000,-97.921758
282.000000,-97.921907
272.000000,-97.921216
267.000000,-97.921119
269.000000,-97.920546
280.000000,-97.920212
300.000000,-97.920240
326.000000,-97.920491
354.000000,-97.920405
378.000000,-97.920378
395.000000,-97.919521
400.000000,-97.917938
393.000000,-97.916330
374.000000,-97.913807
347.000000,-97.911109
316.000000,-97.908575
285.000000,-97.905908
260.000000,-97.903429
243.000000,-97.902358
238.000000,-97.902047
248.000000,-97.901303
271.000000,-97.901390
306.000000,-97.902110
348.000000,-97.902822
392.000000,-97.903934
428.000000,-97.905028
449.000000,-97.905739
450.000000,-97.905533
430.000000,-97.904112
392.000000,-97.901974
345.000000,-97.899396
300.000000,-97.896736
267.000000,-97.894843
255.000000,-97.893616
265.000000,-97.893559
297.000000,-97.894275
344.000000,-97.895344
395.000000,-97.896707
441.000000,-97.897642
472.000000,-97.897079
482.000000,-97.896471
473.000000,-97.895314
449.000000,-97.893653
415.000000,-97.892656
380.000000,-97.890310
351.000000,-97.889203
332.000000,-97.888682
327.000000,-97.888146
335.000000,-97.888101
354.000000,-97.888541
379.000000,-97.889056
404.000000,-97.889978
423.000000,-97.891757
430.000000,-97.892410
422.000000,-97.892177
400.000000,-97.892508
366.000000,-97.890664
327.000000,-97.888711
