Temperature (K),Energy (eV)
1159.000000,-27.193812
1115.000000,-27.191776
1053.000000,-27.188994
979.000000,-27.185605
900.000000,-27.182387
820.000000,-27.180159
747.000000,-27.177011
684.000000,-27.176490
631.000000,-27.176275
590.000000,-27.175500
559.000000,-27.174576
535.000000,-27.174264
516.000000,-27.174143
500.000000,-27.173887
485.000000,-27.173588
471.000000,-27.172917
458.000000,-27.172015
446.000000,-27.171270
436.000000,-27.169701
428.000000,-27.167993
422.000000,-27.167286
418.000000,-27.166367
417.000000,-27.165635
419.000000,-27.164548
423.000000,-27.163626
430.000000,-27.163393
440.000000,-27.162744
452.000000,-27.162125
466.000000,-27.161678
481.000000,-27.161412
499.000000,-27.161345
519.000000,-27.160722
541.000000,-27.161302
566.000000,-27.160825
594.000000,-27.162146
628.000000,-27.164060
670.000000,-27.162159
720.000000,-27.159405
776.000000,-27.158152
838.000000,-27.157144
905.000000,-27.156781
978.000000,-27.155571
1052.000000,-27.153633
1122.000000,-27.153281
1185.000000,-27.152159
1231.000000,-27.151443
1255.000000,-27.150508
1252.000000,-27.148331
1218.000000,-27.145197
1154.000000,-27.141558
1063.000000,-27.137056
953.000000,-27.132438
830.000000,-27.128183
706.000000,-27.125075
589.000000,-27.121605
487.000000,-27.118581
405.000000,-27.116983
344.000000,-27.116225
304.000000,-27.115769
283.000000,-27.115653
277.000000,-27.115652
282.000000,-27.115438
295.000000,-27.115369
313.000000,-27.115524
336.000000,-27.115621
365.000000,-27.115571
399.000000,-27.115466
441.000000,-27.115261
492.000000,-27.114802
552.000000,-27.113983
622.000000,-27.112614
700.000000,-27.111679
784.000000,-27.111221
871.000000,-27.110203
956.000000,-27.109253
1033.000000,-27.108540
1095.000000,-27.107541
1136.000000,-27.106093
1153.000000,-27.104236
1144.000000,-27.102357
1109.000000,-27.100057
1052.000000,-27.097508
980.000000,-27.094738
900.000000,-27.092237
817.000000,-27.090051
741.000000,-27.088071
676.000000,-27.086473
627.000000,-27.085778
594.000000,-27.085486
579.000000,-27.085148
578.000000,-27.084771
588.000000,-27.084025
603.000000,-27.083267
619.000000,-27.083016
635.000000,-27.082429
648.000000,-27.081040
657.000000,-27.080535
662.000000,-27.078847
664.000000,-27.075717
662.000000,-27.073268
